name,salary_from,salary_to,salary_currency,area_name,published_at
Стажёр 2D-художник персонажей,15000.0,30000.0,RUR,Санкт-Петербург,2022-12-20T02:19:59+0300
GR-менеджер,150000.0,,RUR,Москва,2022-12-20T00:18:19+0300
Системный администратор,60000.0,,RUR,Чита,2022-12-20T02:05:23+0300
Дизайнер - Менеджер стройки,100000.0,,RUR,Москва,2022-12-20T01:31:43+0300
Разработчик под iOS (Swift),150000.0,230000.0,RUR,Санкт-Петербург,2022-12-20T02:56:50+0300
Разработчик под Android (Kotlin),150000.0,300000.0,RUR,Санкт-Петербург,2022-12-20T02:57:09+0300
Главный механик технологического оборудования,75000.0,80000.0,RUR,Красноярск,2022-12-20T03:49:21+0300
Product Designer / Продуктовый дизайнер / UI дизайнер (удаленно),200000.0,300000.0,RUR,Москва,2022-12-20T02:03:01+0300
Chief Product Officer (стрим ДМС),,,,Москва,2022-12-20T01:08:02+0300
DevOps инженер / Администратор Linux (удаленно),140000.0,160000.0,RUR,Новосибирск,2022-12-20T00:11:45+0300
Технический специалист CRM,1000.0,1600.0,USD,Минск,2022-12-20T01:18:39+0300
Бизнес-аналитик,500000.0,,KZT,Алматы,2022-12-20T03:57:25+0300
Product manager / Продакт менеджер,150000.0,250000.0,RUR,Москва,2022-12-20T01:43:58+0300
Дизайнер интерьеров,50000.0,100000.0,RUR,Хабаровск,2022-12-20T01:09:01+0300
Мастер газового хозяйства,70000.0,75000.0,RUR,Находка,2022-12-20T02:10:22+0300
Специалист технической поддержки,50000.0,,RUR,Красноярск,2022-12-20T03:08:07+0300
Инженер-электронщик,80000.0,80000.0,RUR,Санкт-Петербург,2022-12-20T00:24:32+0300
Оператор (аппаратчик) в цех приготовления продукции,30000.0,40000.0,RUR,Елец,2022-12-20T01:09:01+0300
Специалист технической поддержки,30000.0,,RUR,Пушкино (Московская область),2022-12-20T01:09:00+0300
Журналист-редактор,,50000.0,RUR,Санкт-Петербург,2022-12-20T00:07:53+0300
Инженер,12000.0,30000.0,RUR,Благовещенск (Амурская область),2022-12-20T02:42:22+0300
Менеджер по маркетплейсам,25000.0,50000.0,RUR,Воронеж,2022-12-20T01:03:12+0300
Специалист службы поддержки,45000.0,55000.0,RUR,Владивосток,2022-12-20T02:13:18+0300
Системный администратор,75000.0,,RUR,Южно-Сахалинск,2022-12-20T03:47:24+0300
Senior Product Manager,,,,Санкт-Петербург,2022-12-20T00:02:09+0300
Младший разработчик DWH,,,,Москва,2022-12-20T00:20:30+0300
Главный механик,40600.0,40600.0,RUR,Ярославль,2022-12-20T00:57:26+0300
BI-специалист,70000.0,,RUR,Москва,2022-12-20T00:18:13+0300
Специалист в области информационных технологий,13000.0,30000.0,RUR,Благовещенск (Амурская область),2022-12-20T02:42:51+0300
Техник по монтажу разливного оборудования (Вяземский),45000.0,,RUR,Вяземский,2022-12-20T02:49:50+0300
Менеджер по продажам ПО,35000.0,200000.0,RUR,Пушкино (Московская область),2022-12-20T01:09:06+0300
"Back-end разработчик - стажер (php, Java/Kotlin)",15000.0,30000.0,RUR,Минск,2022-12-20T02:03:25+0300
Оператор станка с ЧПУ лазерной и плазменной резки,50000.0,,RUR,Барнаул,2022-12-20T03:24:25+0300
Программист 1С-Системный администратор,75000.0,,RUR,Воронеж,2022-12-20T01:54:04+0300
Менеджер по продажам кухонь / дизайнер мебели,40000.0,120000.0,RUR,Самара,2022-12-20T01:11:00+0300
Python разработчик (проект Лаборатория измерительных систем),,,,Санкт-Петербург,2022-12-20T02:06:32+0300
Администратор ИТ и ИТБ,45000.0,50000.0,RUR,Южно-Сахалинск,2022-12-20T01:50:00+0300
Младший разработчик Hadoop,,,,Москва,2022-12-20T00:31:58+0300
Токарь,90000.0,,RUR,Москва,2022-12-20T01:54:06+0300
Оператор станка лазерной резки,40000.0,65000.0,RUR,Калининград,2022-12-20T01:09:02+0300
DevOps (удаленная работа),,,,Москва,2022-12-20T02:15:16+0300
Strong Middle React Engineer,,,,Алматы,2022-12-20T01:38:13+0300
Менеджер отдела сервиса (Кассовое оборудование),80460.0,86200.0,RUR,Москва,2022-12-20T00:15:26+0300
Разработчик C#,80000.0,200000.0,RUR,Новосибирск,2022-12-20T03:23:20+0300
Python разработчик (проект Лаборатория измерительных систем),,,,Москва,2022-12-20T02:06:32+0300
Инженер (информационная безопасность),11000.0,24000.0,RUR,Благовещенск (Амурская область),2022-12-20T02:43:10+0300
Junior project manager в web-студию,35000.0,60000.0,RUR,Минск,2022-12-20T01:36:42+0300
Дизайнер/Графический дизайнер/Графический (web) дизайнер,35000.0,50000.0,RUR,Саранск,2022-12-20T00:27:56+0300
Ведущий инженер (информационная безопасность),15000.0,35000.0,RUR,Благовещенск (Амурская область),2022-12-20T02:43:26+0300
Инженер-программист,85000.0,,RUR,Южно-Сахалинск,2022-12-20T02:19:43+0300
Аналитик данных/Middle Data scientist (Computer Vision),,,,Санкт-Петербург,2022-12-20T02:12:36+0300
Инженер-теплотехник/монтажник,60000.0,100000.0,RUR,Новосибирск,2022-12-20T03:55:51+0300
Руководитель проектов,,,,Череповец,2022-12-20T00:21:35+0300
Менеджер развития процессов,,115000.0,RUR,Владивосток,2022-12-20T02:13:18+0300
Механик транспортной службы,46000.0,,RUR,Краснокаменск,2022-12-20T02:23:14+0300
Аналитик данных/Middle Data scientist (Computer Vision),,,,Москва,2022-12-20T02:12:36+0300
Графический дизайнер на digital-макеты,,,,Санкт-Петербург,2022-12-20T03:15:22+0300
Сервисный инженер по ремонту холодильного оборудования / холодильщик,60000.0,,RUR,Санкт-Петербург,2022-12-20T01:49:53+0300
Инженер отдела сопровождения компьютерной техники,60000.0,65000.0,RUR,Петропавловск-Камчатский,2022-12-20T03:53:03+0300
Механик клинингового оборудования,70000.0,100000.0,RUR,Москва,2022-12-20T02:35:17+0300
Региональный менеджер,68750.0,120000.0,RUR,Екатеринбург,2022-12-20T01:41:37+0300
Слесарь-механик по ремонту автомобилей предприятия (неполный день),22000.0,22000.0,RUR,Биробиджан,2022-12-20T03:42:56+0300
Ведущий инженер-программист отдела ПиА,68000.0,75000.0,RUR,Петропавловск-Камчатский,2022-12-20T03:52:56+0300
Токарь-фрезеровщик,55000.0,80000.0,RUR,Барнаул,2022-12-20T03:23:59+0300
Менеджер - аналитик,,,,Иркутск,2022-12-20T03:49:57+0300
Middle программист 1С,150000.0,170000.0,RUR,Владивосток,2022-12-20T03:53:25+0300
Ведущий инженер средств радио и телевидения (г. Юрюзань),70000.0,,RUR,Юрюзань,2022-12-20T00:09:46+0300
Junior программист 1С,50000.0,80000.0,RUR,Владивосток,2022-12-20T03:54:05+0300
Ведущий инженер по технологическому контролю (метролог),55000.0,,RUR,Челябинск,2022-12-20T00:09:46+0300
Оператор лазерной установки,41000.0,41000.0,RUR,Брянск,2022-12-20T03:59:37+0300
Senior Android разработчик (удаленно),350000.0,,RUR,Санкт-Петербург,2022-12-20T00:01:32+0300
Проектный менеджер,55000.0,115000.0,RUR,Владивосток,2022-12-20T02:13:18+0300
Оформитель торгового комплекса (д. Елино),45000.0,55000.0,RUR,Зеленоград,2022-12-20T03:19:32+0300
Инженер-программист отдела системного и сетевого администрирования,62000.0,68000.0,RUR,Петропавловск-Камчатский,2022-12-20T03:53:06+0300
Python разработчик (проект Лаборатория измерительных систем),,,,Череповец,2022-12-20T02:06:32+0300
Копирайтер (маркетолог),20000.0,,RUR,Москва,2022-12-20T01:43:48+0300
Оформитель торгового комплекса,28800.0,31100.0,RUR,Челябинск,2022-12-20T03:19:44+0300
Программист / разработчик 1С (подработка),,,,Москва,2022-12-20T02:23:00+0300
Аналитик данных/Middle Data scientist (Computer Vision),,,,Череповец,2022-12-20T02:12:36+0300
Специалист по внедрению и сопровождению экономического ПО на платформе Гедымин,2500.0,,BYR,Минск,2022-12-20T01:20:00+0300
Инженер слаботочных систем,,,,Владивосток,2022-12-20T02:35:37+0300
Ведущий специалист отдела системного и сетевого администрирования,68000.0,75000.0,RUR,Петропавловск-Камчатский,2022-12-20T03:52:59+0300
Team lead of Analytics & Projects stream,,,,Алматы,2022-12-20T01:21:40+0300
Ведущий разработчик C++,,,,Нижний Новгород,2022-12-20T01:01:14+0300
Специалист по обучению 1С,70000.0,90000.0,RUR,Владивосток,2022-12-20T02:13:18+0300
"Мастер сервисного центра, ТЦ Фортуна Гранд",32300.0,,RUR,Иркутск,2022-12-20T03:58:24+0300
Middle/senior android разработчик,120000.0,220000.0,RUR,Москва,2022-12-20T03:08:20+0300
Оформитель торгового комплекса (улица Кузоваткина),39000.0,47000.0,RUR,Нижневартовск,2022-12-20T03:19:31+0300
Senior/Lead Python Developer,,,,Алматы,2022-12-20T01:45:24+0300
Программист 1С:ERP,,,,Москва,2022-12-20T00:03:31+0300
Senior/Lead Scala Developer,,,,Алматы,2022-12-20T01:48:35+0300
Frontend developer,,,,Минск,2022-12-20T07:54:40+0300
Дизайнер карточек для маркетплейсов (подработка),15000.0,,RUR,Томск,2022-12-20T05:51:26+0300
Веб-разработчик,70000.0,100000.0,RUR,Санкт-Петербург,2022-12-20T04:31:19+0300
Сервисный инженер,400000.0,,KZT,Усть-Каменогорск,2022-12-20T07:44:01+0300
Программист (junior),50000.0,,RUR,Екатеринбург,2022-12-20T07:51:20+0300
Продукт-менеджер (Product manager),500000.0,1000000.0,KZT,Алматы,2022-12-20T05:59:13+0300
Web-дизайнер,65000.0,,RUR,Санкт-Петербург,2022-12-20T07:53:12+0300
Инженер-программист АСУ ТП,,,,Астана,2022-12-20T07:41:41+0300
Оператор станков с ПУ (УЧЕНИК),48000.0,80000.0,RUR,Екатеринбург,2022-12-20T06:53:58+0300
3Д визуализатор,,,,Новосибирск,2022-12-20T05:11:31+0300
3D-Визуализатор интерьера (удаленно),,,,Барнаул,2022-12-20T05:14:00+0300
Начальник гаража,45000.0,,RUR,Екатеринбург,2022-12-20T07:02:48+0300
Механик (спецтехника),80000.0,,RUR,Новосибирск,2022-12-20T05:14:37+0300
Механик (объект Бованенково),150000.0,180000.0,RUR,Уфа,2022-12-20T07:29:08+0300
Дизайнер,,,,Новосибирск,2022-12-20T05:58:38+0300
